timestamp,src_ip,dst_ip,src_port,dst_port,protocol,pkt_size,predicted_timeout
1694891139.460854,10.0.0.3,10.0.0.1,3478,47120,6,54,1
1694891139.4628146,10.0.0.1,10.0.0.3,47120,3478,6,54,1
1694891139.5727754,10.0.0.1,10.0.0.4,48648,8443,6,54,11
1694891139.5743196,10.0.0.4,10.0.0.1,8443,48648,6,54,1
1694891139.6807327,10.0.0.2,10.0.0.4,0,0,17,82,1
1694891139.6823301,10.0.0.4,10.0.0.2,0,0,1,110,1
1694891139.7727246,10.0.0.3,10.0.0.1,443,55879,6,1506,11
1694891139.7743747,10.0.0.1,10.0.0.3,55879,443,6,54,1
1694891139.896986,10.0.0.1,10.0.0.2,443,55879,6,1514,11
1694891139.8981185,10.0.0.1,10.0.0.2,22616,22616,6,1514,5
1694891139.8991437,10.0.0.1,10.0.0.2,22616,22616,6,1466,5
1694891139.9010391,10.0.0.2,10.0.0.1,55879,443,6,54,1
1694891140.020753,10.0.0.4,10.0.0.1,9036,3478,6,54,11
1694891140.0225677,10.0.0.1,10.0.0.4,3478,9036,6,54,1
1694891140.1247737,10.0.0.4,10.0.0.5,40316,22,6,122,11
1694891140.12667,10.0.0.5,10.0.0.4,22,40316,6,54,5
1694891140.2367756,10.0.0.2,10.0.0.4,40316,22,6,58,1
1694891140.2387438,10.0.0.4,10.0.0.2,22,40316,6,54,5
1694891140.3408604,10.0.0.4,10.0.0.1,443,49370,6,794,5
1694891140.3427596,10.0.0.1,10.0.0.4,49370,443,6,54,1
1694891140.4846313,10.0.0.3,10.0.0.5,0,0,1,152,1
1694891140.4863214,10.0.0.5,10.0.0.3,0,0,1,152,1
1694891140.6765704,10.0.0.2,10.0.0.5,0,0,1,203,1
1694891140.6784427,10.0.0.5,10.0.0.2,0,0,1,203,1
1694891140.768773,10.0.0.2,10.0.0.4,0,0,1,190,1
1694891140.7704597,10.0.0.4,10.0.0.2,0,0,1,190,1
1694891140.9088786,10.0.0.1,10.0.0.2,47714,80,6,58,1
1694891140.9104598,10.0.0.2,10.0.0.1,80,47714,6,54,1
1694891141.0367372,10.0.0.4,10.0.0.2,54967,14875,6,54,1
1694891141.0384398,10.0.0.2,10.0.0.4,14875,54967,6,54,1
1694891141.1448894,10.0.0.2,10.0.0.3,0,0,17,1338,5
1694891141.1465697,10.0.0.3,10.0.0.2,0,0,1,590,1
1694891141.2447796,10.0.0.1,10.0.0.4,443,61429,6,54,5
1694891141.365076,10.0.0.4,10.0.0.1,49238,110,6,54,1
1694891141.3671641,10.0.0.1,10.0.0.4,110,49238,6,54,5
1694891141.4526742,10.0.0.5,10.0.0.1,2632,52492,6,58,5
1694891141.454277,10.0.0.1,10.0.0.5,52492,2632,6,54,1
1694891141.5407724,10.0.0.3,10.0.0.1,2834,1114,6,58,5
1694891141.5421748,10.0.0.1,10.0.0.3,1114,2834,6,54,11
